Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
"01/06/2026","Sell to Open","AAPL 02/20/2026 220.00 P","APPLE INC  02/20/2026 $220 Put",2,3.45,1.30,"-690.00"
"02/20/2026","Assigned","AAPL 02/20/2026 220.00 P","APPLE INC  02/20/2026 $220 Put",2,0,0,"0.00"
"03/03/2026","Sell to Open","AAPL 04/17/2026 215.00 C","APPLE INC  04/17/2026 $215 Call",2,3.80,1.30,"-760.00"
"03/21/2026","Buy to Close","AAPL 04/17/2026 215.00 C","APPLE INC  04/17/2026 $215 Call",2,1.90,1.30,"380.00"
"03/25/2026","Sell to Open","AAPL 05/16/2026 220.00 C","APPLE INC  05/16/2026 $220 Call",2,5.10,1.30,"-1020.00"
"05/16/2026","Assigned","AAPL 05/16/2026 220.00 C","APPLE INC  05/16/2026 $220 Call",2,0,0,"0.00"
END
"02/03/2026","Sell to Open","NVDA 02/27/2026 125.00 P","NVIDIA CORP  02/27/2026 $125 Put",2,4.80,1.30,"-960.00"
"02/27/2026","Expired","NVDA 02/27/2026 125.00 P","NVIDIA CORP  02/27/2026 $125 Put",2,0,0,"0.00"
END
"03/02/2026","Sell to Open","MSFT 03/21/2026 395.00 P","MICROSOFT CORP  03/21/2026 $395 Put",1,4.50,0.65,"-450.00"
"03/10/2026","Buy to Close","MSFT 03/21/2026 395.00 P","MICROSOFT CORP  03/21/2026 $395 Put",1,2.25,0.65,"225.00"
END
"02/01/2026","Buy","TSLA","TESLA INC",100,310.00,0,"-31000.00"
"02/10/2026","Sell to Open","TSLA 03/21/2026 320.00 C","TESLA INC  03/21/2026 $320 Call",1,9.20,0.65,"-920.00"
"03/21/2026","Expired","TSLA 03/21/2026 320.00 C","TESLA INC  03/21/2026 $320 Call",1,0,0,"0.00"
"03/25/2026","Sell to Open","TSLA 04/17/2026 325.00 C","TESLA INC  04/17/2026 $325 Call",1,8.40,0.65,"-840.00"
"04/17/2026","Assigned","TSLA 04/17/2026 325.00 C","TESLA INC  04/17/2026 $325 Call",1,0,0,"0.00"
END
"03/10/2026","Buy to Open","META 04/17/2026 680.00 C","META PLATFORMS  04/17/2026 $680 Call",1,12.30,0.65,"-1230.00"
"04/04/2026","Sell to Close","META 04/17/2026 680.00 C","META PLATFORMS  04/17/2026 $680 Call",1,6.80,0.65,"680.00"
END
"03/31/2026","Buy to Open","AMZN 05/16/2026 200.00 P","AMAZON COM  05/16/2026 $200 Put",1,9.60,0.65,"-960.00"
"04/25/2026","Expired","AMZN 05/16/2026 200.00 P","AMAZON COM  05/16/2026 $200 Put",1,0,0,"0.00"
END
"01/15/2026","Cash Dividend","AAPL","APPLE INC 01/15/2026 CASH DIV",,,,50.00
"01/31/2026","Bank Interest","SCHWAB BANK INT","BANK INTEREST 01/2026",,,,18.42
"03/01/2026","Cash Dividend","MSFT","MICROSOFT CORP 03/01/2026 CASH DIV",,,,94.00
"03/15/2026","Wire Funds Received","INCOMING WIRE","WIRE TRANSFER IN",,,,25000.00
"03/31/2026","Bank Interest","SCHWAB BANK INT","BANK INTEREST 03/2026",,,,22.17
